accepted_name,family,broader,establishment_means,park_list,voucher_exists,iNat_RG_record_exists
Athyrium americanum,Aspleniaceae,1.ferns/primitive,native,1,1,1
Athyrium filix-femina,Aspleniaceae,1.ferns/primitive,native,1,1,1
Woodwardia fimbriata,Blechnaceae,1.ferns/primitive,native,1,1,1
Cystopteris fragilis,Cystopteridaceae,1.ferns/primitive,native,1,1,1
Pteridium feei,Dennstaedtiaceae,1.ferns/primitive,native,1,1,1
Dryopteris arguta,Dryopteridaceae,1.ferns/primitive,native,1,1,1
Polystichum imbricans,Dryopteridaceae,1.ferns/primitive,native,1,1,1
Polystichum kruckebergii,Dryopteridaceae,1.ferns/primitive,native,1,1,
Equisetum arvense,Equisetaceae,1.ferns/primitive,native,1,1,1
Equisetum hyemale,Equisetaceae,1.ferns/primitive,native,1,1,1
Equisetum laevigatum,Equisetaceae,1.ferns/primitive,native,1,1,1
Equisetum x ferrissii,Equisetaceae,1.ferns/primitive,native,,1,1
Isoetes bolanderi,Isoetaceae,1.ferns/primitive,native,1,1,
Isoetes howellii,Isoetaceae,1.ferns/primitive,native,1,1,
Isoetes nuttallii,Isoetaceae,1.ferns/primitive,native,1,1,
Isoetes occidentalis,Isoetaceae,1.ferns/primitive,native,1,1,
Marsilea vestita,Marsileaceae,1.ferns/primitive,native,1,1,
Botrychium ascendens,Ophioglossaceae,1.ferns/primitive,native,1,1,
Botrychium minganense,Ophioglossaceae,1.ferns/primitive,native,1,1,
Botrychium simplex,Ophioglossaceae,1.ferns/primitive,native,1,1,1
Botrychium yaaxudakeit,Ophioglossaceae,1.ferns/primitive,native,1,1,
Sceptridium multifidum,Ophioglossaceae,1.ferns/primitive,native,1,1,1
Polypodium californicum,Polypodiaceae,1.ferns/primitive,native,1,1,
Polypodium calirhiza,Polypodiaceae,1.ferns/primitive,native,1,1,
Polypodium hesperium,Polypodiaceae,1.ferns/primitive,native,1,1,
Polystichum scopulinum,Polypodiaceae,1.ferns/primitive,native,,1,
Adiantum aleuticum,Pteridaceae,1.ferns/primitive,native,1,1,1
Adiantum jordanii,Pteridaceae,1.ferns/primitive,native,1,,
Aspidotis californica,Pteridaceae,1.ferns/primitive,native,1,1,
Aspidotis densa,Pteridaceae,1.ferns/primitive,native,1,1,1
Cryptogramma acrostichoides,Pteridaceae,1.ferns/primitive,native,1,1,1
Cryptogramma cascadensis,Pteridaceae,1.ferns/primitive,native,1,1,
Myriopteris cooperae,Pteridaceae,1.ferns/primitive,native,,1,
Myriopteris covillei,Pteridaceae,1.ferns/primitive,native,1,1,1
