accepted_name,family,broader,establishment_means,park_list,voucher_exists,iNat_RG_record_exists
Myriopteris gracillima,Pteridaceae,1.ferns/primitive,native,1,1,1
Myriopteris intertexta,Pteridaceae,1.ferns/primitive,native,1,1,1
Pellaea andromedifolia,Pteridaceae,1.ferns/primitive,native,1,1,1
Pellaea breweri,Pteridaceae,1.ferns/primitive,native,1,1,1
Pellaea bridgesii,Pteridaceae,1.ferns/primitive,native,1,1,1
Pellaea glaciogena,Pteridaceae,1.ferns/primitive,native,,1,
Pellaea mucronata,Pteridaceae,1.ferns/primitive,native,1,1,1
Pentagramma pallida,Pteridaceae,1.ferns/primitive,native,1,1,
Pentagramma triangularis,Pteridaceae,1.ferns/primitive,native,1,1,1
Selaginella hansenii,Selaginellaceae,1.ferns/primitive,native,1,1,1
Selaginella watsonii,Selaginellaceae,1.ferns/primitive,native,1,1,1
Woodsia oregana,Woodsiaceae,1.ferns/primitive,native,1,,
Woodsia scopulina,Woodsiaceae,1.ferns/primitive,native,1,1,
Calocedrus decurrens,Cupressaceae,2.gymnosperm,native,1,1,1
Juniperus communis,Cupressaceae,2.gymnosperm,native,1,1,1
Juniperus grandis,Cupressaceae,2.gymnosperm,native,1,1,1
Sequoiadendron giganteum,Cupressaceae,2.gymnosperm,native,1,1,1
Abies concolor,Pinaceae,2.gymnosperm,native,1,1,1
Abies magnifica,Pinaceae,2.gymnosperm,native,1,1,1
Pinus albicaulis,Pinaceae,2.gymnosperm,native,1,1,1
Pinus attenuata,Pinaceae,2.gymnosperm,native,1,1,1
Pinus contorta,Pinaceae,2.gymnosperm,native,1,1,1
Pinus jeffreyi,Pinaceae,2.gymnosperm,native,1,1,1
Pinus lambertiana,Pinaceae,2.gymnosperm,native,1,1,1
Pinus monophylla,Pinaceae,2.gymnosperm,native,1,1,
Pinus monticola,Pinaceae,2.gymnosperm,native,1,1,1
Pinus ponderosa,Pinaceae,2.gymnosperm,native,1,1,1
Pinus sabiniana,Pinaceae,2.gymnosperm,native,1,1,1
Pseudotsuga menziesii,Pinaceae,2.gymnosperm,native,1,1,1
Tsuga mertensiana,Pinaceae,2.gymnosperm,native,1,1,1
Taxus brevifolia,Taxaceae,2.gymnosperm,native,,1,
Torreya californica,Taxaceae,2.gymnosperm,native,1,1,1
Amaranthus albus,Amaranthaceae,3.dicot,introduced,1,1,
Amaranthus blitoides,Amaranthaceae,3.dicot,native,1,1,
Amaranthus retroflexus,Amaranthaceae,3.dicot,introduced,,,1
Chenopodium album,Amaranthaceae,3.dicot,introduced,1,1,
Chenopodium atrovirens,Amaranthaceae,3.dicot,native,1,1,
Chenopodium desiccatum,Amaranthaceae,3.dicot,native,,1,
Chenopodium pratericola,Amaranthaceae,3.dicot,native,,1,
Dysphania botrys,Amaranthaceae,3.dicot,introduced,1,1,1
Dysphania pumilio,Amaranthaceae,3.dicot,introduced,1,,
Monolepis nuttalliana,Amaranthaceae,3.dicot,native,1,1,
Neomonolepis spathulata,Amaranthaceae,3.dicot,native,1,1,
Rhus aromatica,Anacardiaceae,3.dicot,native,1,1,1
Toxicodendron diversilobum,Anacardiaceae,3.dicot,native,1,1,1
Angelica breweri,Apiaceae,3.dicot,native,1,1,1
Angelica capitellata,Apiaceae,3.dicot,native,1,1,1
Angelica lineariloba,Apiaceae,3.dicot,native,1,,1
Anthriscus caucalis,Apiaceae,3.dicot,introduced,1,1,1
Cicuta douglasii,Apiaceae,3.dicot,native,1,1,
Cymopterus cinerarius,Apiaceae,3.dicot,native,1,,
Cymopterus terebinthinus,Apiaceae,3.dicot,native,1,1,1
Daucus pusillus,Apiaceae,3.dicot,native,1,1,
Foeniculum vulgare,Apiaceae,3.dicot,introduced,1,1,
Heracleum maximum,Apiaceae,3.dicot,native,1,1,1
Ligusticum grayi,Apiaceae,3.dicot,native,1,1,1
Lomatium dissectum,Apiaceae,3.dicot,native,1,1,1
Lomatium macrocarpum,Apiaceae,3.dicot,native,1,1,
Lomatium nevadense,Apiaceae,3.dicot,native,1,1,
Lomatium torreyi,Apiaceae,3.dicot,native,1,1,1
Lomatium utriculatum,Apiaceae,3.dicot,native,1,1,1
Osmorhiza berteroi,Apiaceae,3.dicot,native,1,1,1
Osmorhiza brachypoda,Apiaceae,3.dicot,native,1,1,1
Osmorhiza occidentalis,Apiaceae,3.dicot,native,1,1,1
Oxypolis occidentalis,Apiaceae,3.dicot,native,1,1,
Perideridia bolanderi,Apiaceae,3.dicot,native,1,1,1
Perideridia howellii,Apiaceae,3.dicot,native,1,1,
Perideridia lemmonii,Apiaceae,3.dicot,native,1,1,
Perideridia parishii,Apiaceae,3.dicot,native,1,1,1
Podistera nevadensis,Apiaceae,3.dicot,native,1,1,1
Sanicula bipinnata,Apiaceae,3.dicot,native,,,1
Sanicula bipinnatifida,Apiaceae,3.dicot,native,1,1,
Sanicula graveolens,Apiaceae,3.dicot,native,1,1,
Sanicula tuberosa,Apiaceae,3.dicot,native,1,1,1
Tauschia hartwegii,Apiaceae,3.dicot,native,1,,
Torilis arvensis,Apiaceae,3.dicot,introduced,,1,1
Torilis nodosa,Apiaceae,3.dicot,introduced,1,1,
Yabea microcarpa,Apiaceae,3.dicot,native,1,1,
Apocynum androsaemifolium,Apocynaceae,3.dicot,native,1,1,1
Apocynum cannabinum,Apocynaceae,3.dicot,native,1,1,1
Asclepias cordifolia,Apocynaceae,3.dicot,native,1,1,1
Asclepias fascicularis,Apocynaceae,3.dicot,native,1,1,1
Asclepias speciosa,Apocynaceae,3.dicot,native,1,1,1
Vinca major,Apocynaceae,3.dicot,introduced,1,1,1
Hedera helix,Araliaceae,3.dicot,introduced,,1,
Asarum hartwegii,Aristolochiaceae,3.dicot,native,1,1,1
Asarum lemmonii,Aristolochiaceae,3.dicot,native,1,1,1
Achillea millefolium,Asteraceae,3.dicot,native,1,1,1
Adeia whitneyi,Asteraceae,3.dicot,native,1,1,
Adenocaulon bicolor,Asteraceae,3.dicot,native,1,1,1
Ageratina occidentalis,Asteraceae,3.dicot,native,1,1,1
Agnorhiza elata,Asteraceae,3.dicot,native,1,1,
Agoseris aurantiaca,Asteraceae,3.dicot,native,1,1,1
Agoseris elata,Asteraceae,3.dicot,native,1,1,
Agoseris glauca,Asteraceae,3.dicot,native,1,1,
Agoseris grandiflora,Asteraceae,3.dicot,native,1,1,
Agoseris heterophylla,Asteraceae,3.dicot,native,1,1,1
Agoseris monticola,Asteraceae,3.dicot,native,1,1,
Agoseris parviflora,Asteraceae,3.dicot,native,1,1,
Agoseris retrorsa,Asteraceae,3.dicot,native,1,1,1
Anaphalis margaritacea,Asteraceae,3.dicot,native,1,1,1
Antennaria argentea,Asteraceae,3.dicot,native,1,1,1
Antennaria corymbosa,Asteraceae,3.dicot,native,1,1,1
Antennaria media,Asteraceae,3.dicot,native,1,1,1
Antennaria rosea,Asteraceae,3.dicot,native,1,1,1
Antennaria umbrinella,Asteraceae,3.dicot,native,1,1,1
Anthemis cotula,Asteraceae,3.dicot,introduced,1,1,
Arnica chamissonis,Asteraceae,3.dicot,native,1,1,
Arnica cordifolia,Asteraceae,3.dicot,native,1,1,
Arnica dealbata,Asteraceae,3.dicot,native,1,1,
Arnica discoidea,Asteraceae,3.dicot,native,1,1,1
Arnica lanceolata,Asteraceae,3.dicot,native,1,1,
Arnica latifolia,Asteraceae,3.dicot,native,1,1,1
Arnica longifolia,Asteraceae,3.dicot,native,1,1,
Arnica mollis,Asteraceae,3.dicot,native,1,1,1
Arnica nevadensis,Asteraceae,3.dicot,native,1,1,
Arnica ovata,Asteraceae,3.dicot,native,1,1,
Arnica parryi,Asteraceae,3.dicot,native,1,1,
Artemisia albicans,Asteraceae,3.dicot,native,1,1,
Artemisia arbuscula,Asteraceae,3.dicot,native,1,,
Artemisia cana,Asteraceae,3.dicot,native,1,,
Artemisia douglasiana,Asteraceae,3.dicot,native,1,1,1
Artemisia dracunculus,Asteraceae,3.dicot,native,1,1,1
Artemisia ludoviciana,Asteraceae,3.dicot,native,1,1,1
Artemisia norvegica,Asteraceae,3.dicot,native,1,1,1
Artemisia rothrockii,Asteraceae,3.dicot,native,1,1,1
Artemisia spiciformis,Asteraceae,3.dicot,native,1,1,
Artemisia tridentata,Asteraceae,3.dicot,native,1,1,1
Askellia pygmaea,Asteraceae,3.dicot,native,1,,
Baccharis pilularis,Asteraceae,3.dicot,native,1,,
Balsamorhiza deltoidea,Asteraceae,3.dicot,native,1,1,
Balsamorhiza macrolepis,Asteraceae,3.dicot,native,1,1,
Balsamorhiza sagittata,Asteraceae,3.dicot,native,1,1,1
Bellis perennis,Asteraceae,3.dicot,introduced,,1,1
Bidens cernua,Asteraceae,3.dicot,native,1,1,
Bidens tripartita,Asteraceae,3.dicot,introduced,1,1,
Brickellia californica,Asteraceae,3.dicot,native,1,1,1
Brickellia grandiflora,Asteraceae,3.dicot,native,1,1,1
Calycadenia mollis,Asteraceae,3.dicot,native,1,1,1
Calycadenia multiglandulosa,Asteraceae,3.dicot,native,1,1,1
Carduus pycnocephalus,Asteraceae,3.dicot,introduced,1,1,
Centaurea benedicta,Asteraceae,3.dicot,introduced,1,1,
Centaurea cyanus,Asteraceae,3.dicot,introduced,1,,1
Centaurea melitensis,Asteraceae,3.dicot,introduced,1,1,
Centaurea solstitialis,Asteraceae,3.dicot,introduced,1,1,1
Centaurea stoebe,Asteraceae,3.dicot,introduced,,1,
Chaenactis alpigena,Asteraceae,3.dicot,native,1,1,1
Chaenactis douglasii,Asteraceae,3.dicot,native,1,1,1
Chaenactis glabriuscula,Asteraceae,3.dicot,native,1,1,1
Chrysothamnus viscidiflorus,Asteraceae,3.dicot,native,,1,1
Cirsium andersonii,Asteraceae,3.dicot,native,1,1,1
Cirsium occidentale,Asteraceae,3.dicot,native,1,1,1
Cirsium scariosum,Asteraceae,3.dicot,native,1,1,1
Cirsium tioganum,Asteraceae,3.dicot,native,1,1,
Cirsium vulgare,Asteraceae,3.dicot,introduced,1,1,1
Coreopsis lanceolata,Asteraceae,3.dicot,introduced,1,,
Corethrogyne filaginifolia,Asteraceae,3.dicot,native,1,1,1
Crepis acuminata,Asteraceae,3.dicot,native,1,1,
Crepis capillaris,Asteraceae,3.dicot,introduced,1,1,
Crepis intermedia,Asteraceae,3.dicot,native,1,1,1
Crepis occidentalis,Asteraceae,3.dicot,native,1,,
Deinandra kelloggii,Asteraceae,3.dicot,native,1,1,
Dieteria canescens,Asteraceae,3.dicot,native,1,1,1
Doellingeria breweri,Asteraceae,3.dicot,native,1,1,1
Ericameria arborescens,Asteraceae,3.dicot,native,1,1,1
Ericameria bloomeri,Asteraceae,3.dicot,native,1,1,1
Ericameria cuneata,Asteraceae,3.dicot,native,1,1,1
Ericameria discoidea,Asteraceae,3.dicot,native,1,1,1
Ericameria nauseosa,Asteraceae,3.dicot,native,1,1,1
Ericameria parryi,Asteraceae,3.dicot,native,1,1,1
Ericameria suffruticosa,Asteraceae,3.dicot,native,1,1,1
Erigeron algidus,Asteraceae,3.dicot,native,1,1,1
Erigeron annuus,Asteraceae,3.dicot,introduced,1,1,
Erigeron barbellulatus,Asteraceae,3.dicot,native,1,1,
Erigeron breweri,Asteraceae,3.dicot,native,1,1,1
Erigeron canadensis,Asteraceae,3.dicot,native,1,1,1
Erigeron clokeyi,Asteraceae,3.dicot,native,1,1,
Erigeron compositus,Asteraceae,3.dicot,native,1,1,1
Erigeron coulteri,Asteraceae,3.dicot,native,1,1,1
Erigeron divergens,Asteraceae,3.dicot,native,1,1,
Erigeron eatonii,Asteraceae,3.dicot,native,1,1,
Erigeron elmeri,Asteraceae,3.dicot,native,1,1,
Erigeron foliosus,Asteraceae,3.dicot,native,1,1,
Erigeron glacialis,Asteraceae,3.dicot,native,1,1,1
Erigeron linearis,Asteraceae,3.dicot,native,1,1,
Erigeron lonchophyllus,Asteraceae,3.dicot,native,1,1,
Erigeron pygmaeus,Asteraceae,3.dicot,native,1,1,1
Erigeron strigosus,Asteraceae,3.dicot,introduced,1,1,
Erigeron tener,Asteraceae,3.dicot,native,1,1,
Erigeron vagus,Asteraceae,3.dicot,native,1,1,1
Eriophyllum confertiflorum,Asteraceae,3.dicot,native,1,1,1
Eriophyllum congdonii,Asteraceae,3.dicot,native,1,1,
Eriophyllum lanatum,Asteraceae,3.dicot,native,1,1,1
Eriophyllum nubigenum,Asteraceae,3.dicot,native,1,1,1
Eurybia integrifolia,Asteraceae,3.dicot,native,1,1,1
Euthamia occidentalis,Asteraceae,3.dicot,native,1,1,1
Gaillardia pulchella,Asteraceae,3.dicot,introduced,1,,
Gnaphalium palustre,Asteraceae,3.dicot,native,1,1,1
Helenium bigelovii,Asteraceae,3.dicot,native,1,1,1
Helianthella californica,Asteraceae,3.dicot,native,1,1,
Helianthus annuus,Asteraceae,3.dicot,native,1,1,
Helianthus bolanderi,Asteraceae,3.dicot,native,1,,
Helianthus californicus,Asteraceae,3.dicot,native,1,1,1
Hemizonella minima,Asteraceae,3.dicot,native,1,1,1
Hesperevax acaulis,Asteraceae,3.dicot,native,,1,
Heterotheca grandiflora,Asteraceae,3.dicot,native,1,,
Heterotheca sessiliflora,Asteraceae,3.dicot,native,1,1,
Heterotheca villosa,Asteraceae,3.dicot,native,1,1,
Hieracium albiflorum,Asteraceae,3.dicot,native,1,1,1
Hieracium horridum,Asteraceae,3.dicot,native,1,1,1
Hieracium murorum,Asteraceae,3.dicot,introduced,,1,
Hieracium scouleri,Asteraceae,3.dicot,native,1,1,
Hieracium triste,Asteraceae,3.dicot,native,1,1,1
Holocarpha virgata,Asteraceae,3.dicot,native,1,1,
Hulsea algida,Asteraceae,3.dicot,native,1,1,1
Hulsea brevifolia,Asteraceae,3.dicot,native,1,1,1
Hulsea heterochroma,Asteraceae,3.dicot,native,1,1,1
Hymenoxys hoopesii,Asteraceae,3.dicot,native,1,,
Hypochaeris glabra,Asteraceae,3.dicot,introduced,1,1,
Hypochaeris radicata,Asteraceae,3.dicot,introduced,1,1,1
Jensia yosemitana,Asteraceae,3.dicot,native,1,1,1
Kyhosia bolanderi,Asteraceae,3.dicot,native,1,1,
Lactuca pulchella,Asteraceae,3.dicot,introduced,1,1,
Lactuca serriola,Asteraceae,3.dicot,introduced,1,1,1
Lasthenia californica,Asteraceae,3.dicot,native,1,,
Layia pentachaeta,Asteraceae,3.dicot,native,1,1,
Lessingia leptoclada,Asteraceae,3.dicot,native,1,1,1
Leucanthemum vulgare,Asteraceae,3.dicot,introduced,1,1,1
Logfia gallica,Asteraceae,3.dicot,introduced,1,1,
Madia elegans,Asteraceae,3.dicot,native,1,1,1
Madia exigua,Asteraceae,3.dicot,native,1,1,1
Madia glomerata,Asteraceae,3.dicot,native,1,1,1
Madia gracilis,Asteraceae,3.dicot,native,1,1,1
Malacothrix clevelandii,Asteraceae,3.dicot,native,,1,
Malacothrix floccifera,Asteraceae,3.dicot,native,1,1,1
Matricaria discoidea,Asteraceae,3.dicot,introduced,1,1,1
Micropus californicus,Asteraceae,3.dicot,native,1,1,
Microseris nutans,Asteraceae,3.dicot,native,1,1,1
Oreostemma alpigenum,Asteraceae,3.dicot,native,1,1,1
Packera cana,Asteraceae,3.dicot,native,1,1,1
Packera pauciflora,Asteraceae,3.dicot,native,1,1,1
Packera pseudaurea,Asteraceae,3.dicot,native,1,1,
Packera streptanthifolia,Asteraceae,3.dicot,native,1,1,
Packera subnuda,Asteraceae,3.dicot,native,1,1,
Packera werneriifolia,Asteraceae,3.dicot,native,1,1,1
Phalacroseris bolanderi,Asteraceae,3.dicot,native,1,1,
Pseudognaphalium beneolens,Asteraceae,3.dicot,native,1,1,
Pseudognaphalium californicum,Asteraceae,3.dicot,native,1,1,
Pseudognaphalium canescens,Asteraceae,3.dicot,native,,1,1
Pseudognaphalium luteoalbum,Asteraceae,3.dicot,introduced,1,,
Pseudognaphalium microcephalum,Asteraceae,3.dicot,native,1,1,
Pseudognaphalium stramineum,Asteraceae,3.dicot,native,1,1,
Pseudognaphalium thermale,Asteraceae,3.dicot,native,1,1,
Psilocarphus brevissimus,Asteraceae,3.dicot,native,,1,
Psilocarphus oregonus,Asteraceae,3.dicot,native,,1,
Psilocarphus tenellus,Asteraceae,3.dicot,native,,1,
Pyrrocoma apargioides,Asteraceae,3.dicot,native,1,1,1
Raillardella argentea,Asteraceae,3.dicot,native,1,1,1
Raillardella scaposa,Asteraceae,3.dicot,native,1,1,1
Rigiopappus leptocladus,Asteraceae,3.dicot,native,1,1,
Rudbeckia californica,Asteraceae,3.dicot,native,1,1,1
Rudbeckia hirta,Asteraceae,3.dicot,introduced,1,1,1
Senecio aronicoides,Asteraceae,3.dicot,native,1,1,1
Senecio clarkianus,Asteraceae,3.dicot,native,1,1,1
Senecio flaccidus,Asteraceae,3.dicot,native,1,1,
Senecio fremontii,Asteraceae,3.dicot,native,1,1,
Senecio integerrimus,Asteraceae,3.dicot,native,1,1,1
Senecio scorzonella,Asteraceae,3.dicot,native,1,1,1
Senecio serra,Asteraceae,3.dicot,native,1,,
Senecio triangularis,Asteraceae,3.dicot,native,1,1,1
Senecio vulgaris,Asteraceae,3.dicot,introduced,1,1,
Sericocarpus oregonensis,Asteraceae,3.dicot,native,1,1,1
Solidago elongata,Asteraceae,3.dicot,native,1,1,1
Solidago multiradiata,Asteraceae,3.dicot,native,1,1,1
Solidago stricta,Asteraceae,3.dicot,introduced,,1,
Solidago velutina,Asteraceae,3.dicot,native,1,1,1
Soliva sessilis,Asteraceae,3.dicot,introduced,1,1,
Sonchus asper,Asteraceae,3.dicot,introduced,1,1,
Sonchus oleraceus,Asteraceae,3.dicot,introduced,1,1,
Stenotus acaulis,Asteraceae,3.dicot,native,1,1,
Stephanomeria exigua,Asteraceae,3.dicot,native,,1,
Stephanomeria lactucina,Asteraceae,3.dicot,native,1,1,1
Stephanomeria tenuifolia,Asteraceae,3.dicot,native,1,1,1
Stephanomeria virgata,Asteraceae,3.dicot,native,1,1,1
Symphyotrichum ascendens,Asteraceae,3.dicot,native,1,1,1
Symphyotrichum bracteolatum,Asteraceae,3.dicot,native,1,1,
Symphyotrichum foliaceum,Asteraceae,3.dicot,native,1,1,
Symphyotrichum spathulatum,Asteraceae,3.dicot,native,1,1,1
Taeniatherum caput-medusae,Asteraceae,3.dicot,introduced,,,1
Tanacetum parthenium,Asteraceae,3.dicot,introduced,1,1,1
Taraxacum officinale,Asteraceae,3.dicot,introduced,1,1,1
Tragopogon dubius,Asteraceae,3.dicot,introduced,1,1,1
Uropappus lindleyi,Asteraceae,3.dicot,native,1,1,1
Wyethia angustifolia,Asteraceae,3.dicot,native,1,1,1
Wyethia mollis,Asteraceae,3.dicot,native,1,1,1
Xanthium strumarium,Asteraceae,3.dicot,introduced,,1,1
Berberis dictyota,Berberidaceae,3.dicot,native,1,1,1
Alnus rhombifolia,Betulaceae,3.dicot,native,1,1,1
Corylus cornuta,Betulaceae,3.dicot,native,1,1,1
Adelinia grandis,Boraginaceae,3.dicot,native,1,,1
Amsinckia menziesii,Boraginaceae,3.dicot,native,1,1,
Andersonglossum occidentale,Boraginaceae,3.dicot,introduced,1,1,1
Cryptantha affinis,Boraginaceae,3.dicot,native,1,1,
Cryptantha ambigua,Boraginaceae,3.dicot,native,1,1,
Cryptantha echinella,Boraginaceae,3.dicot,native,1,1,
Cryptantha flaccida,Boraginaceae,3.dicot,native,1,1,
Cryptantha glomeriflora,Boraginaceae,3.dicot,native,1,1,
Cryptantha muricata,Boraginaceae,3.dicot,native,1,1,
Cryptantha simulans,Boraginaceae,3.dicot,native,1,1,
Cryptantha torreyana,Boraginaceae,3.dicot,native,1,1,
Cynoglossum officinale,Boraginaceae,3.dicot,introduced,1,1,1
Draperia systyla,Boraginaceae,3.dicot,native,1,1,1
Eriodictyon californicum,Boraginaceae,3.dicot,native,1,1,1
Hackelia micrantha,Boraginaceae,3.dicot,native,1,1,1
Hackelia mundula,Boraginaceae,3.dicot,native,1,1,1
Hackelia nervosa,Boraginaceae,3.dicot,native,1,1,1
Hackelia velutina,Boraginaceae,3.dicot,native,1,1,1
Hesperochiron nanus,Boraginaceae,3.dicot,native,1,1,1
Hesperochiron pumilus,Boraginaceae,3.dicot,native,1,1,1
Hydrophyllum occidentale,Boraginaceae,3.dicot,native,1,1,1
Mertensia ciliata,Boraginaceae,3.dicot,native,1,1,1
Myosotis discolor,Boraginaceae,3.dicot,introduced,,1,1
Myosotis stricta,Boraginaceae,3.dicot,introduced,,1,1
Nemophila heterophylla,Boraginaceae,3.dicot,native,1,1,1
Nemophila maculata,Boraginaceae,3.dicot,native,1,1,1
Nemophila menziesii,Boraginaceae,3.dicot,native,1,1,1
Nemophila parviflora,Boraginaceae,3.dicot,native,1,1,1
Nemophila pedunculata,Boraginaceae,3.dicot,native,1,1,1
Nemophila spatulata,Boraginaceae,3.dicot,native,1,1,1
Oreocarya nubigena,Boraginaceae,3.dicot,native,1,1,1
Pectocarya pusilla,Boraginaceae,3.dicot,native,1,1,
Phacelia cicutaria,Boraginaceae,3.dicot,native,1,,
Phacelia congdonii,Boraginaceae,3.dicot,native,1,,
Phacelia egena,Boraginaceae,3.dicot,native,1,1,
Phacelia eisenii,Boraginaceae,3.dicot,native,1,1,1
Phacelia hastata,Boraginaceae,3.dicot,native,1,1,1
Phacelia heterophylla,Boraginaceae,3.dicot,native,1,1,
Phacelia humilis,Boraginaceae,3.dicot,native,1,1,
Phacelia hydrophylloides,Boraginaceae,3.dicot,native,1,1,1
Phacelia imbricata,Boraginaceae,3.dicot,native,1,1,1
Phacelia mutabilis,Boraginaceae,3.dicot,native,1,1,
Phacelia platyloba,Boraginaceae,3.dicot,native,1,,
Phacelia purpusii,Boraginaceae,3.dicot,native,1,1,
Phacelia quickii,Boraginaceae,3.dicot,native,1,1,1
Phacelia racemosa,Boraginaceae,3.dicot,native,1,1,
Phacelia ramosissima,Boraginaceae,3.dicot,native,1,1,1
Phacelia tanacetifolia,Boraginaceae,3.dicot,native,1,1,
Phacelia vallicola,Boraginaceae,3.dicot,native,1,1,1
Pholistoma auritum,Boraginaceae,3.dicot,native,1,1,1
Plagiobothrys bracteatus,Boraginaceae,3.dicot,native,,1,
Plagiobothrys myosotoides,Boraginaceae,3.dicot,native,1,1,
Plagiobothrys nothofulvus,Boraginaceae,3.dicot,native,1,1,
Plagiobothrys scouleri,Boraginaceae,3.dicot,native,1,1,
Plagiobothrys stipitatus,Boraginaceae,3.dicot,native,1,1,
Plagiobothrys tenellus,Boraginaceae,3.dicot,native,,1,
Plagiobothrys torreyi,Boraginaceae,3.dicot,native,1,1,1
Anelsonia eurycarpa,Brassicaceae,3.dicot,native,1,1,
Arabidopsis thaliana,Brassicaceae,3.dicot,introduced,1,1,
Arabis eschscholtziana,Brassicaceae,3.dicot,native,1,1,
Arabis pycnocarpa,Brassicaceae,3.dicot,native,1,1,
Athysanus pusillus,Brassicaceae,3.dicot,native,1,1,1
Barbarea orthoceras,Brassicaceae,3.dicot,native,1,1,1
Barbarea vulgaris,Brassicaceae,3.dicot,introduced,,1,
Boechera arcuata,Brassicaceae,3.dicot,native,1,1,1
Boechera covillei,Brassicaceae,3.dicot,native,,1,
Boechera davidsonii,Brassicaceae,3.dicot,native,1,1,1
Boechera depauperata,Brassicaceae,3.dicot,native,1,1,
Boechera divaricarpa,Brassicaceae,3.dicot,native,1,1,
Boechera howellii,Brassicaceae,3.dicot,native,1,1,
Boechera inyoensis,Brassicaceae,3.dicot,native,1,1,
Boechera lemmonii,Brassicaceae,3.dicot,native,1,1,
Boechera lyallii,Brassicaceae,3.dicot,native,1,1,
Boechera paupercula,Brassicaceae,3.dicot,native,1,1,
Boechera pendulocarpa,Brassicaceae,3.dicot,native,1,1,
Boechera perennans,Brassicaceae,3.dicot,native,,1,
Boechera pinetorum,Brassicaceae,3.dicot,native,1,1,
Boechera platysperma,Brassicaceae,3.dicot,native,1,1,1
Boechera pratincola,Brassicaceae,3.dicot,native,,1,
Boechera rectissima,Brassicaceae,3.dicot,native,1,1,
Boechera retrofracta,Brassicaceae,3.dicot,native,1,1,
Boechera sparsiflora,Brassicaceae,3.dicot,native,,1,1
Boechera stricta,Brassicaceae,3.dicot,native,1,1,
Boechera tularensis,Brassicaceae,3.dicot,native,,1,
Brassica nigra,Brassicaceae,3.dicot,introduced,1,1,
Brassica rapa,Brassicaceae,3.dicot,introduced,1,1,
Capsella bursa-pastoris,Brassicaceae,3.dicot,introduced,1,1,1
Cardamine breweri,Brassicaceae,3.dicot,native,1,1,
Cardamine californica,Brassicaceae,3.dicot,native,1,1,1
Cardamine hirsuta,Brassicaceae,3.dicot,introduced,,,1
Cardamine nuttallii,Brassicaceae,3.dicot,native,,1,
Cardamine oligosperma,Brassicaceae,3.dicot,native,1,1,
Descurainia californica,Brassicaceae,3.dicot,native,1,1,
Descurainia incana,Brassicaceae,3.dicot,native,1,1,
Descurainia incisa,Brassicaceae,3.dicot,native,,1,1
Descurainia pinnata,Brassicaceae,3.dicot,native,1,1,
Descurainia sophia,Brassicaceae,3.dicot,introduced,,1,
Draba albertina,Brassicaceae,3.dicot,native,1,1,1
Draba breweri,Brassicaceae,3.dicot,native,1,1,1
Draba cana,Brassicaceae,3.dicot,native,,1,
